Data,Time,Tournament,Home_team,H_S,A_S,Away_team,Match_ID,TEC_result,Field_referee,Stadium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-10-23,20:00,SFL League,TEC,5,1,Ozas,15307,won,Aleksandr Radiuš,Senvagės stadionas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-10-28,18:15,SFL League,Kruša-Basica,2,3,TEC,15338,won,Aleksandr Radiuš,Fabijoniškių VFM stadionas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-04-23,20:15,SFL League,TEC,4,4,Aktas,16461,draw,Robertas Valikonis,Senvagės stadionas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-05-01,18:00,SFL Cup,Navigatoriai,1,1,TEC,16767,draw,Jurij Paškovskij,Senvagės stadionas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-05-07,16:45,SFL League,FK Medžiai,0,1,TEC,16489,won,Robertas Valikonis,Senvagės stadionas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-05-14,20:15,SFL League,TEC,3,1,Ave.Ko.,16517,won,Sergej Melnikov,Senvagės stadionas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-05-21,20:00,SFL League,Naujieji Verkiai,6,2,TEC,16547,lost,Gediminas Macevičius,Fabijoniškių VFM stadionas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-05-28,20:15,SFL League,TEC,2,1,Intersurgical SŽK,16572,won,Artiom Gutovskij,Senvagės stadionas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-06-04,16:00,SFL League,Nerealas,1,1,TEC,16598,draw,Nerijus Vasiliauskas,Fanų stadionas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-06-11,20:15,SFL League,TEC,0,0,Rotalis,16628,draw,Donatas Šimėnas,Senvagės stadionas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
